selection,insertion,blocks
0,0,0
5548,257917,1000
12391,985904,2000
19786,2256201,3000
27472,3987238,4000
34552,6225149,5000
42904,9034650,6000
52137,12297813,7000
61370,16079903,8000
71268,20275584,9000
76434,25132336,10000
86928,30315604,11000
96729,36121740,12000
104668,42379796,13000
113060,49086452,14000
123500,56353188,15000
132086,64078580,16000
141099,72382576,17000
149730,81239312,18000
159458,90472672,19000
166163,100111560,20000
177719,110706640,21000
186392,121716720,22000
198379,132772280,23000
209917,144269072,24000
217659,156340080,25000
227934,169108336,26000
236435,182533200,27000
244396,196508896,28000
256709,210694736,29000
266201,225047696,30000
274711,240228624,31000
284006,256146048,32000
299099,272195136,33000
305382,288875584,34000
314450,306137632,35000
329748,324235904,36000
336106,343092192,37000
346086,362434720,38000
360455,381805664,39000
366830,402111872,40000
381204,422556960,41000
387064,443115136,42000
397456,464924928,43000
409895,487087424,44000
421143,509023968,45000
427871,532051648,46000
443840,555864512,47000
453031,580043648,48000
462438,603538688,49000
470261,628048512,50000
476284,653356096,51000
494182,679346496,52000
502340,705896448,53000
511396,732184896,54000
521468,759314368,55000
525456,787833728,56000
544956,816948992,57000
558310,845977024,58000
562566,875598656,59000
574862,906134848,60000
587277,936084992,61000
595911,965889024,62000
606398,996753152,63000
622852,1027756160,64000
626729,1059622848,65000
635604,1092445056,66000
648477,1124638464,67000
659876,1158513408,68000
669722,1192370048,69000
682244,1227636480,70000
697470,1263578880,71000
704289,1299937152,72000
708707,1336437632,73000
718981,1374224128,74000
736534,1411234688,75000
751903,1449514752,76000
763486,1487686016,77000
774230,1526143104,78000
786474,1565420800,79000
792636,1605320832,80000
810940,1646381056,81000
812529,1687660544,82000
818643,1728099456,83000
830273,1770842880,84000
845866,1813337472,85000
855426,1855803008,86000
867383,1898952192,87000
877712,1943265152,88000
886060,1987042432,89000
898868,2030332544,90000
914158,2076742784,91000
917215,2122570240,92000
925262,2170064896,93000
945267,2216457472,94000
961377,2264619520,95000
962068,2311497984,96000
976812,2359239168,97000
993689,2406955520,98000
992072,2457193984,99000
999441,2507866624,100000
